,sul,sudeste,centro_oeste,nordeste,norte
model sul,0.3119,0.3419,0.3563,0.3898,0.293
model sudeste,0.6897,0.6597,0.6447,0.6123,0.7104
model centro_oeste,0.4315,0.436,0.4072,0.4385,0.3971
model nordeste,0.6897,0.6597,0.6447,0.6123,0.7104
model norte,0.6278,0.6021,0.6385,0.5854,0.6296
