,sul,sudeste,centro_oeste,nordeste,norte
model sul,0.3824,0.4932,0.4543,0.4258,0.3213
model sudeste,0.0,0.0,0.0,0.0,0.0
model centro_oeste,0.3562,0.445,0.404,0.3814,0.3185
model nordeste,0.0,0.0,0.0,0.0,0.0
model norte,0.2017,0.2695,0.1072,0.2346,0.1772
